aib_ID,aib_FirstName,aib_LastName,aib_Email,aib_Phone,aib_Age,aib_YearsExperience,aib_AnnualIncome,aib_PostCode,aib_FamilySize,aib_FamilyStatus,aib_AverageMonthlySpend,aib_EducationLevel,aib_OutstandingMortgage,aib_Job,aib_HasLoanAccount,aib_HasDepositAccount,aib_HasCDAccount,aib_HasCreditCard,aib_RegisteredOnline,aib_LoanApproved
CustId_1052,Bridget,Joyner,b.joyner@lamnahealtcare.com,757-555-0108,23,4,190321,69480,1,Single,8719,High School,539649,Production assistant & radio,FALSE,TRUE,FALSE,TRUE,TRUE,
CustId_1053,Sofia,Petersen,s.petersen@margiestravel.com,470-555-0182,56,6,29860,06262-1989,1,Single,7206,Diploma,182207,Chief Marketing Officer,FALSE,TRUE,FALSE,TRUE,TRUE,
CustId_1054,George,Pinkney,g.pinkney@nodpublishers.com,757-555-0196,29,24,117397,19935-8753,4,Married,1000,Doctrate,25397,Mental health nurse,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
CustId_1055,Alphonso,McConnell,a.mcconnell@proseware.com,564-555-0162,62,18,188337,28073-7979,1,Single,6168,Masters,94012,Cartographer,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
CustId_1056,Kelvin,Bilodeau,k.bilodeau@relecloud.com,791-555-0104,44,6,26570,10757-9709,1,Single,3694,Bachelors,581459,Hotel manager,FALSE,TRUE,FALSE,FALSE,TRUE,
CustId_1057,Elisabeth,Reyes,e.reyes@tailspintoys.com,674-555-0116,42,21,91591,2019,5,Married,4275,High School,85796,Producer & radio,FALSE,TRUE,TRUE,TRUE,FALSE,
CustId_1058,Eve,Fitzgerald,e.fitzgerald@vanarsdelltd.com,557-555-0160,47,8,197986,10973-1111,4,Married,7837,Masters,124815,Musician,FALSE,FALSE,TRUE,TRUE,TRUE,
CustId_1059,Vicki,Middleton,v.middleton@wingtiptoys.com,682-555-0166,42,6,9705,47751-8757,1,Single,6982,Bachelors,85767,Academic librarian,FALSE,FALSE,FALSE,TRUE,TRUE,
CustId_1060,Christi,Cain,c.cain@adatum.com,668-555-0159,70,35,58976,70216-9930,3,Married,1686,Masters,429032,Textile designer,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
CustId_1061,Willie,Abbott,w.abbott@adventure-works.com,414-555-0175,64,16,176036,2337,4,Married,4521,Diploma,406063,Actor,FALSE,FALSE,FALSE,TRUE,FALSE,
CustId_1062,Angelina,Garcia,a.garcia@alpineskihouse.com,641-555-0114,45,34,172342,61604-5704,2,Married,715,Associate,439246,Animal technologist,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
CustId_1063,Catalina,Craig,c.craig@bellowscollege.com,581-555-0192,49,17,171878,23928,1,Single,1569,Doctrate,632628,Equities trader,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
CustId_1064,Clyde,Broadnax,c.broadnax@bestforyouorganics.com,416-555-0157,69,16,21540,94415,1,Single,2055,Bachelors,149082,Lighting technician & broadcasting/film/video,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
CustId_1065,Araceli,Collins,a.collins@fabrikam.com,415-555-0156,39,7,140465,49754-7950,1,Single,8656,Masters,222988,Editor & magazine features,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
CustId_1066,Willie,Davis,w.davis@fourthcoffee.com,406-555-0190,25,24,13466,38601,2,Married,5244,Professional,600073,Retail banker,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CustId_1067,Sue,Simmons,s.simmons@lamnahealtcare.com,614-555-0131,60,8,155269,59070-7233,4,Married,4257,Masters,84140,Pharmacist & hospital,FALSE,FALSE,TRUE,FALSE,FALSE,
CustId_1068,Laurence,McGowan,l.mcgowan@margiestravel.com,794-555-0116,69,27,88106,70529-7484,1,Single,4212,High School,475953,Estate manager/land agent,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
CustId_1069,Georgia,Jordan,g.jordan@nodpublishers.com,705-555-0125,48,40,196654,94390,3,Married,5116,High School,672428,Therapist & drama,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
CustId_1070,Jared,Raynor,j.raynor@proseware.com,642-555-0197,44,31,164670,57,1,Single,9845,Bachelors,363991,Sports administrator,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
CustId_1071,Glen,Reuter,g.reuter@relecloud.com,747-555-0134,29,34,158333,94413,1,Single,7035,Bachelors,661339,Medical sales representative,FALSE,TRUE,TRUE,FALSE,TRUE,
CustId_1072,Mable,Greer,m.greer@tailspintoys.com,591-555-0143,56,26,156816,87659,1,Single,4898,Bachelors,539982,Teacher & adult education,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
CustId_1073,Eunice,Wheeler,e.wheeler@vanarsdelltd.com,645-555-0127,20,10,35818,4250,5,Married,1574,Diploma,595741,Tourist information centre manager,FALSE,TRUE,TRUE,FALSE,FALSE,
CustId_1074,Yolanda,Irwin,y.irwin@wingtiptoys.com,789-555-0106,65,4,126364,75597-6548,4,Married,4258,High School,589473,Sports administrator,FALSE,TRUE,TRUE,FALSE,TRUE,
CustId_1075,Ismael,Wickham,i.wickham@adatum.com,508-555-0113,60,17,196316,07122-6786,2,Married,853,Bachelors,113211,Geochemist,FALSE,FALSE,FALSE,TRUE,FALSE,
CustId_1076,Susanne,Whitehead,s.whitehead@adventure-works.com,522-555-0138,29,25,123382,56757,1,Single,3985,Diploma,312356,Museum education officer,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CustId_1077,Rosalyn,Lopez,r.lopez@alpineskihouse.com,616-555-0187,65,9,128769,66958-9532,3,Married,9498,Professional,238985,Operational researcher,FALSE,FALSE,TRUE,TRUE,FALSE,
CustId_1078,Dolly,Mosley,d.mosley@bellowscollege.com,714-555-0122,23,20,74599,34783-7068,1,Single,9152,Associate,635312,Estate manager/land agent,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CustId_1079,Rose,Nguyen,r.nguyen@bestforyouorganics.com,509-555-0135,64,39,58888,87121,1,Single,2027,Masters,159379,Designer & multimedia,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
CustId_1080,Alton,Bozeman,a.bozeman@adatum.com,559-555-0176,33,18,104836,16801-8012,1,Single,6152,Bachelors,324955,Dealer,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
CustId_1081,Luella,Hardy,l.hardy@adventure-works.com,429-555-0187,29,4,199674,2021,3,Married,4923,Associate,513738,Biomedical engineer,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
CustId_1082,Kasey,Francis,k.francis@alpineskihouse.com,682-555-0127,55,32,104070,62357,1,Single,5879,Masters,201862,Airline pilot,FALSE,TRUE,FALSE,TRUE,TRUE,
CustId_1083,Lorie,Garza,l.garza@bellowscollege.com,636-555-0127,37,13,82095,75484-6206,3,Married,2350,Diploma,353298,Electronics engineer,FALSE,TRUE,FALSE,FALSE,FALSE,
CustId_1084,Wilson,Keyser,w.keyser@bestforyouorganics.com,411-555-0125,55,29,102580,83552,1,Single,9548,Associate,309514,Equities trader,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CustId_1085,Gene,Strom,g.strom@fabrikam.com,618-555-0132,45,4,134865,27859,5,Married,6444,Professional,61929,Engineer & petroleum,FALSE,FALSE,FALSE,TRUE,TRUE,
CustId_1086,Keith,Ledet,k.ledet@fourthcoffee.com,624-555-0105,29,3,71439,30015-8145,5,Married,6917,Diploma,410945,International aid/development worker,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
CustId_1087,Joel,Novotny,j.novotny@lamnahealtcare.com,513-555-0125,27,32,142890,61743,1,Single,7303,High School,66134,Aid worker,FALSE,TRUE,TRUE,TRUE,FALSE,
CustId_1088,Rudolph,Barringer,r.barringer@margiestravel.com,679-555-0108,27,10,102396,37031,3,Married,7713,Associate,508884,Speech and language therapist,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
CustId_1089,Devon,Segal,d.segal@nodpublishers.com,783-555-0165,54,34,185967,48258,3,Married,7977,Associate,484379,Midwife,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
CustId_1090,Elsie,Ellison,e.ellison@proseware.com,722-555-0200,56,5,161521,94787-3532,2,Married,3127,Doctrate,79206,Teaching laboratory technician,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
CustId_1091,Dora,Patterson,d.patterson@relecloud.com,420-555-0144,51,34,62190,25074-0614,1,Single,3737,Associate,348950,Therapist & horticultural,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
CustId_1092,Tracey,Perez,t.perez@tailspintoys.com,791-555-0184,35,37,146328,72502,3,Married,1356,Doctrate,77054,Learning mentor,FALSE,TRUE,TRUE,TRUE,TRUE,
CustId_1093,Mona,Madden,m.madden@vanarsdelltd.com,441-555-0120,56,23,63505,38332-1935,1,Single,8391,Bachelors,465545,Therapist & sports,FALSE,TRUE,FALSE,FALSE,TRUE,
CustId_1094,Murray,Pettway,m.pettway@wingtiptoys.com,625-555-0146,48,23,175588,27224-0349,1,Single,457,Diploma,588753,Conservator & furniture,FALSE,FALSE,FALSE,FALSE,TRUE,
CustId_1095,Lorrie,Franklin,l.franklin@adatum.com,668-555-0179,32,1,134097,64949-9980,1,Single,1282,Professional,594445,Sports coach,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
CustId_1096,Dustin,Liddell,d.liddell@adventure-works.com,681-555-0196,38,33,47472,86489,2,Married,4566,Diploma,20238,Cartographer,FALSE,FALSE,TRUE,TRUE,TRUE,
CustId_1097,Courtney,McKee,c.mckee@alpineskihouse.com,641-555-0156,48,27,166340,26457,3,Married,5872,Professional,305665,Print production planner,FALSE,TRUE,FALSE,TRUE,FALSE,
CustId_1098,Cathryn,Pickett,c.pickett@bellowscollege.com,744-555-0155,54,30,193392,18586-4424,5,Married,8006,Professional,104014,Automotive engineer,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
CustId_1099,Wilson,Conger,w.conger@bestforyouorganics.com,545-555-0158,65,24,191337,86569-1962,1,Single,6232,Professional,698158,Television floor manager,FALSE,TRUE,FALSE,FALSE,TRUE,
CustId_1100,Sandra,Gay,s.gay@fabrikam.com,664-555-0130,24,23,13577,15489-5729,1,Single,7050,Diploma,677459,Garment/textile technologist,FALSE,FALSE,FALSE,FALSE,FALSE,
CustId_1101,Orville,Leake,o.leake@fourthcoffee.com,738-555-0109,32,0,96501,18409,3,Married,7526,Bachelors,589577,Paramedic,FALSE,FALSE,FALSE,TRUE,TRUE,
CustId_1102,Brigitte,Hobbs,b.hobbs@lamnahealtcare.com,530-555-0107,49,23,47878,12695-9052,1,Single,1875,Professional,69582,Water engineer,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
CustId_1103,Beau,Hylton,b.hylton@margiestravel.com,764-555-0179,48,34,12051,28060-0183,2,Married,5470,High School,296172,Engineer & energy,FALSE,TRUE,TRUE,TRUE,TRUE,
CustId_1104,Ivy,Beach,i.beach@nodpublishers.com,550-555-0154,50,14,176449,55902-8364,5,Married,9578,Masters,224894,Designer & textile,FALSE,FALSE,FALSE,FALSE,TRUE,
CustId_1105,Melva,Sloan,m.sloan@proseware.com,601-555-0129,23,39,187533,17148,1,Single,3083,Professional,680296,Medical physicist,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
CustId_1106,Deloris,Mueller,d.mueller@relecloud.com,400-555-0171,33,12,91174,24555,3,Married,4037,Doctrate,420323,Nutritional therapist,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
CustId_1107,Aileen,Aguirre,a.aguirre@tailspintoys.com,661-555-0104,57,38,135406,49842,2,Married,175,Diploma,19897,Engineer & structural,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
CustId_1108,Corinne,Nunez,c.nunez@vanarsdelltd.com,773-555-0171,67,24,20654,32048-7002,1,Single,3408,Bachelors,284293,Personal assistant,FALSE,TRUE,TRUE,FALSE,TRUE,
CustId_1109,Katrina,McKinney,k.mckinney@wingtiptoys.com,527-555-0134,68,10,154546,80498-6002,1,Single,3323,Bachelors,10608,Location manager,FALSE,TRUE,TRUE,FALSE,TRUE,
CustId_1110,Aisha,Newton,a.newton@adatum.com,581-555-0101,62,18,32473,50200,1,Single,3376,Bachelors,657233,Research scientist (medical),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CustId_1111,Iris,Pope,i.pope@adventure-works.com,536-555-0140,46,37,35897,78225-8060,1,Single,9781,Diploma,186647,Pharmacologist,FALSE,TRUE,TRUE,FALSE,TRUE,
CustId_1112,Antoine,Lauer,a.lauer@alpineskihouse.com,610-555-0170,53,39,27740,19924,5,Married,3849,Doctrate,257650,Social research officer & government,FALSE,TRUE,TRUE,FALSE,TRUE,
CustId_1113,Francisco,Worsham,f.worsham@bellowscollege.com,582-555-0129,48,14,136223,41357,5,Married,8000,Bachelors,217590,Retail merchandiser,FALSE,TRUE,TRUE,FALSE,FALSE,
CustId_1114,Sonja,Arnold,s.arnold@bestforyouorganics.com,700-555-0115,46,20,35834,31954,1,Single,5616,Associate,359472,Nature conservation officer,FALSE,FALSE,TRUE,TRUE,FALSE,
CustId_1115,Bennie,Stoker,b.stoker@fabrikam.com,674-555-0139,49,21,53307,58080-7901,1,Single,9177,Professional,270080,Biomedical scientist,FALSE,FALSE,FALSE,FALSE,TRUE,
CustId_1116,Jesse,Overby,j.overby@fourthcoffee.com,594-555-0146,23,4,190009,32092,1,Single,8209,High School,23437,Training and development officer,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
CustId_1117,Jon,Dortch,j.dortch@lamnahealtcare.com,416-555-0131,64,39,93605,47352-7907,2,Married,9268,Bachelors,215498,Psychologist & forensic,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
CustId_1118,Mike,Bui,m.bui@margiestravel.com,563-555-0118,35,28,147912,45349,1,Single,6924,Bachelors,214916,Medical physicist,FALSE,TRUE,TRUE,TRUE,TRUE,
CustId_1119,Corinne,Myers,c.myers@nodpublishers.com,408-555-0128,68,17,53701,78856,1,Single,3409,High School,104969,Bonds trader,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
CustId_1120,Janna,Clements,j.clements@proseware.com,793-555-0113,57,12,189509,93835,1,Single,1157,Associate,164645,Radiographer & diagnostic,FALSE,TRUE,TRUE,FALSE,FALSE,
CustId_1121,Desmond,Benefield,d.benefield@relecloud.com,791-555-0104,27,10,23327,16037,2,Married,4276,Associate,281999,Embryologist & clinical,FALSE,FALSE,TRUE,TRUE,FALSE,
CustId_1122,Ronda,Morin,r.morin@tailspintoys.com,615-555-0185,29,18,76812,39952,3,Married,8,Masters,167010,Manufacturing engineer,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
CustId_1123,Russell,Guido,r.guido@vanarsdelltd.com,746-555-0155,65,24,147717,98601-6981,1,Single,7850,High School,231272,Comptroller,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
CustId_1124,Muriel,Cherry,m.cherry@wingtiptoys.com,686-555-0103,50,2,93561,22688,1,Single,2006,Masters,136759,Editor & magazine features,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
CustId_1125,Terence,Foret,t.foret@adatum.com,561-555-0111,57,33,105037,03568-7892,1,Single,2013,Diploma,180174,Programmer & applications,FALSE,TRUE,TRUE,TRUE,FALSE,
CustId_1126,Jayne,Stuart,j.stuart@adventure-works.com,586-555-0150,34,26,77357,82181-1751,1,Single,9840,Masters,53964,Scientist & research (life sciences),FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
CustId_1127,Lois,Key,l.key@alpineskihouse.com,627-555-0134,31,39,103193,10339-2983,1,Single,8199,High School,306584,Secretary & company,FALSE,FALSE,FALSE,FALSE,TRUE,
CustId_1128,Lewis,Bartels,l.bartels@bellowscollege.com,687-555-0142,62,7,194159,00126-7672,1,Single,6479,Associate,474963,Health visitor,FALSE,TRUE,FALSE,TRUE,TRUE,
CustId_1129,Ruthie,Coffey,r.coffey@bestforyouorganics.com,403-555-0152,67,11,24470,38371-6792,3,Married,8164,Diploma,137390,Mudlogger,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CustId_1130,Freddy,Nall,f.nall@fabrikam.com,540-555-0151,56,19,29692,81888,2,Married,5274,Associate,663020,Sales promotion account executive,FALSE,FALSE,TRUE,TRUE,FALSE,
CustId_1131,Aimee,Berry,a.berry@fourthcoffee.com,553-555-0125,42,24,90998,86845,4,Married,9352,Masters,225270,Pilot & airline,FALSE,FALSE,TRUE,TRUE,FALSE,
CustId_1132,Bridget,Joyner,b.joyner@lamnahealtcare.com,757-555-0109,69,10,113424,81700,1,Single,1764,Associate,364093,Holiday representative,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
CustId_1133,Sofia,Petersen,s.petersen@margiestravel.com,470-555-0183,24,35,138018,06265-7230,1,Single,5420,Masters,589877,Ranger/warden,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
